FNAME,TCHANGE,CWORDS,TWORDS,CWDUR,CWRATE
LS_374_180298_0007_SWT_LS_7505_83618_0015_tChange_6408_ms,6408,18,26,5630,2.81
LS_374_180298_0008_SWT_LS_7447_91187_0036_tChange_6568_ms,6568,17,25,4790,2.59
LS_374_180298_0009_SWT_LS_7447_91187_0009_tChange_7335_ms,7335,17,27,6760,2.32
LS_374_180298_0010_SWT_LS_374_180298_0037_tChange_6529_ms,6529,24,38,5980,3.68
LS_374_180298_0011_SWT_LS_2843_152918_0113_tChange_6006_ms,6006,21,31,5430,3.50
LS_374_180298_0012_SWT_LS_5456_62014_0012_tChange_9088_ms,9088,23,37,7580,2.53
LS_374_180298_0015_SWT_LS_374_180299_0042_tChange_5735_ms,5735,15,25,4560,2.62
LS_374_180298_0018_SWT_LS_7447_91187_0005_tChange_5732_ms,5732,11,20,4970,1.92
LS_374_180298_0020_SWT_LS_5456_58161_0003_tChange_6092_ms,6092,14,26,4900,2.30
LS_374_180298_0022_SWT_LS_7505_258958_0035_tChange_5749_ms,5749,18,28,5240,3.13
LS_374_180298_0028_SWT_LS_2843_152918_0058_tChange_5627_ms,5627,17,27,4360,3.02
LS_374_180298_0033_SWT_LS_7505_83618_0007_tChange_7213_ms,7213,17,22,5730,2.36
LS_374_180298_0037_SWT_LS_374_180298_0010_tChange_5605_ms,5605,19,35,4890,3.39
LS_374_180298_0040_SWT_LS_2843_152918_0103_tChange_8598_ms,8598,26,36,7620,3.02
LS_374_180298_0042_SWT_LS_5456_58161_0022_tChange_5267_ms,5267,12,26,3790,2.28
LS_374_180298_0044_SWT_LS_7505_258964_0019_tChange_6168_ms,6168,13,23,5090,2.11
LS_374_180298_0049_SWT_LS_5456_62014_0017_tChange_5982_ms,5982,15,26,4510,2.51
LS_374_180298_0050_SWT_LS_5456_62014_0011_tChange_5219_ms,5219,18,33,4370,3.45
LS_374_180298_0054_SWT_LS_5456_62043_0017_tChange_7578_ms,7578,24,35,6470,3.17
LS_374_180298_0055_SWT_LS_2843_152918_0100_tChange_9911_ms,9911,28,39,8520,2.83
LS_374_180298_0059_SWT_LS_374_180299_0004_tChange_5637_ms,5637,17,25,4039,3.02
LS_374_180298_0060_SWT_LS_7447_91187_0030_tChange_5612_ms,5612,17,24,4790,3.03
LS_374_180299_0004_SWT_LS_374_180298_0059_tChange_5747_ms,5747,12,24,4080,2.09
LS_374_180299_0006_SWT_LS_2843_152918_0016_tChange_5513_ms,5513,14,25,3790,2.54
LS_374_180299_0009_SWT_LS_7505_83618_0010_tChange_6219_ms,6219,15,23,5170,2.41
LS_374_180299_0011_SWT_LS_7447_91187_0027_tChange_6487_ms,6487,21,30,5430,3.24
LS_374_180299_0013_SWT_LS_7505_83618_0016_tChange_5607_ms,5607,18,26,5520,3.21
LS_374_180299_0019_SWT_LS_7447_91187_0061_tChange_5557_ms,5557,17,22,5420,3.06
LS_374_180299_0021_SWT_LS_2843_152918_0023_tChange_6163_ms,6163,18,28,5450,2.92
LS_374_180299_0022_SWT_LS_2843_152918_0028_tChange_5577_ms,5577,21,31,4960,3.77
LS_374_180299_0024_SWT_LS_7505_83618_0024_tChange_5886_ms,5886,14,24,4430,2.38
LS_374_180299_0030_SWT_LS_7447_91186_0038_tChange_6473_ms,6473,18,28,5270,2.78
LS_374_180299_0031_SWT_LS_5456_62043_0022_tChange_5721_ms,5721,13,26,4430,2.27
LS_374_180299_0033_SWT_LS_374_180299_0037_tChange_7141_ms,7141,19,31,5610,2.66
LS_374_180299_0037_SWT_LS_374_180299_0033_tChange_6991_ms,6991,22,32,6610,3.15
LS_374_180299_0038_SWT_LS_2843_152918_0026_tChange_6462_ms,6462,18,31,4990,2.79
LS_374_180299_0042_SWT_LS_374_180298_0015_tChange_5499_ms,5499,14,24,4950,2.55
LS_374_180299_0045_SWT_LS_7447_91187_0057_tChange_6089_ms,6089,18,30,4950,2.96
LS_5456_24741_0006_SWT_LS_7447_91187_0061_tChange_5824_ms,5824,17,22,5300,2.92
LS_5456_24741_0008_SWT_LS_7505_83618_0015_tChange_5678_ms,5678,14,22,4230,2.47
LS_5456_24741_0009_SWT_LS_7447_91187_0036_tChange_6219_ms,6219,19,27,4990,3.06
LS_5456_24741_0012_SWT_LS_374_180299_0004_tChange_6156_ms,6156,18,26,5490,2.92
LS_5456_24741_0013_SWT_LS_374_180298_0059_tChange_6023_ms,6023,18,30,4890,2.99
LS_5456_24741_0019_SWT_LS_7447_91186_0038_tChange_6417_ms,6417,21,31,5830,3.27
LS_5456_24741_0020_SWT_LS_5456_58161_0003_tChange_5450_ms,5450,20,32,5050,3.67
LS_5456_58161_0000_SWT_LS_374_180299_0033_tChange_6312_ms,6312,12,22,4840,1.90
LS_5456_58161_0003_SWT_LS_2843_152918_0028_tChange_7787_ms,7787,25,35,6730,3.21
LS_5456_58161_0004_SWT_LS_5456_62043_0022_tChange_6495_ms,6495,25,38,5680,3.85
LS_5456_58161_0009_SWT_LS_374_180299_0037_tChange_5767_ms,5767,18,30,5050,3.12
LS_5456_58161_0017_SWT_LS_7505_258958_0035_tChange_5889_ms,5889,12,22,4910,2.04
LS_5456_58161_0021_SWT_LS_7505_83618_0024_tChange_5946_ms,5946,17,27,5250,2.86
LS_5456_58161_0022_SWT_LS_2843_152918_0058_tChange_5574_ms,5574,18,28,4810,3.23
LS_5456_58161_0027_SWT_LS_374_180298_0015_tChange_5490_ms,5490,17,27,4980,3.10
LS_5456_62014_0000_SWT_LS_7447_91187_0027_tChange_5367_ms,5367,11,20,3540,2.05
LS_5456_62014_0001_SWT_LS_5456_62043_0002_tChange_5900_ms,5900,22,32,3810,3.73
LS_5456_62014_0002_SWT_LS_374_180299_0042_tChange_5944_ms,5944,20,30,4470,3.36
LS_5456_62014_0011_SWT_LS_2843_152918_0026_tChange_7036_ms,7036,26,39,6160,3.70
LS_5456_62014_0012_SWT_LS_2843_152918_0100_tChange_5447_ms,5447,20,31,4600,3.67
LS_5456_62014_0017_SWT_LS_2843_152918_0113_tChange_6419_ms,6419,20,30,4940,3.12
LS_5456_62043_0000_SWT_LS_7505_83618_0005_tChange_5873_ms,5873,16,25,4800,2.72
LS_5456_62043_0002_SWT_LS_2843_152918_0023_tChange_5274_ms,5274,13,23,4070,2.46
LS_5456_62043_0005_SWT_LS_5456_62014_0017_tChange_5878_ms,5878,20,32,4650,3.40
LS_5456_62043_0009_SWT_LS_7505_258964_0019_tChange_5557_ms,5557,21,31,4480,3.78
LS_5456_62043_0014_SWT_LS_7447_91187_0030_tChange_5678_ms,5678,14,21,4900,2.47
LS_5456_62043_0017_SWT_LS_2843_152918_0016_tChange_5404_ms,5404,18,29,4210,3.33
LS_5456_62043_0021_SWT_LS_7505_83618_0007_tChange_5578_ms,5578,19,24,4090,3.41
LS_5456_62043_0022_SWT_LS_2843_152918_0103_tChange_7259_ms,7259,26,36,5929,3.58
LS_5456_62043_0023_SWT_LS_7447_91187_0009_tChange_5226_ms,5226,18,28,4270,3.44
LS_5456_62043_0025_SWT_LS_374_180298_0010_tChange_6165_ms,6165,21,37,4880,3.41
LS_5456_62043_0026_SWT_LS_5456_62014_0011_tChange_5548_ms,5548,22,38,4300,3.97
LS_5456_62043_0027_SWT_LS_5456_58161_0022_tChange_5446_ms,5446,17,30,4390,3.12
LS_5456_62043_0028_SWT_LS_7447_91187_0005_tChange_5587_ms,5587,17,26,4460,3.04
LS_5456_62043_0029_SWT_LS_374_180298_0037_tChange_5271_ms,5271,15,29,4760,2.85
LS_5456_62043_0030_SWT_LS_7447_91187_0057_tChange_6657_ms,6657,18,30,5450,2.70
LS_5456_62043_0032_SWT_LS_7505_83618_0010_tChange_6385_ms,6385,22,30,5520,3.45
LS_5456_62043_0035_SWT_LS_7505_83618_0016_tChange_6261_ms,6261,23,31,4880,3.67
LS_5456_62043_0036_SWT_LS_5456_62043_0017_tChange_5530_ms,5530,14,25,4180,2.53
LS_5456_62043_0037_SWT_LS_5456_62014_0012_tChange_5431_ms,5431,16,30,4420,2.95
LS_7447_91186_0001_SWT_LS_7447_91187_0005_tChange_5913_ms,5913,15,24,5650,2.54
LS_7447_91186_0007_SWT_LS_374_180298_0010_tChange_5588_ms,5588,14,30,4850,2.51
LS_7447_91186_0009_SWT_LS_374_180299_0033_tChange_5901_ms,5901,17,27,4970,2.88
LS_7447_91186_0011_SWT_LS_374_180298_0059_tChange_5613_ms,5613,12,24,4790,2.14
LS_7447_91186_0012_SWT_LS_2843_152918_0026_tChange_5818_ms,5818,15,27,4950,2.58
LS_7447_91186_0016_SWT_LS_7447_91187_0027_tChange_6790_ms,6790,19,28,5680,2.80
LS_7447_91186_0021_SWT_LS_5456_62043_0002_tChange_6033_ms,6033,16,26,5240,2.65
LS_7447_91186_0025_SWT_LS_2843_152918_0058_tChange_5684_ms,5684,14,24,5110,2.46
LS_7447_91186_0038_SWT_LS_7505_83618_0024_tChange_5740_ms,5740,16,26,5630,2.79
LS_7447_91186_0039_SWT_LS_2843_152918_0028_tChange_5905_ms,5905,15,25,4750,2.54
LS_7447_91186_0040_SWT_LS_5456_62043_0017_tChange_5945_ms,5945,13,24,4630,2.19
LS_7447_91186_0041_SWT_LS_2843_152918_0100_tChange_5531_ms,5531,11,22,3940,1.99
LS_7447_91186_0043_SWT_LS_7447_91186_0038_tChange_5355_ms,5355,11,21,4930,2.05
LS_7447_91187_0003_SWT_LS_374_180298_0037_tChange_5259_ms,5259,13,27,5340,2.47
LS_7447_91187_0005_SWT_LS_7505_258958_0035_tChange_8872_ms,8872,20,30,7860,2.25
LS_7447_91187_0007_SWT_LS_5456_62014_0012_tChange_6112_ms,6112,12,26,4730,1.96
LS_7447_91187_0009_SWT_LS_7505_83618_0015_tChange_7703_ms,7703,20,28,7090,2.60
LS_7447_91187_0010_SWT_LS_374_180299_0042_tChange_6411_ms,6411,15,25,5369,2.34
LS_7447_91187_0012_SWT_LS_2843_152918_0016_tChange_5458_ms,5458,15,26,5020,2.75
LS_7447_91187_0014_SWT_LS_2843_152918_0023_tChange_5310_ms,5310,11,21,4571,2.07
LS_7447_91187_0021_SWT_LS_374_180299_0004_tChange_5812_ms,5812,14,22,4760,2.41
LS_7447_91187_0026_SWT_LS_7447_91187_0057_tChange_5832_ms,5832,14,26,4930,2.40
LS_7447_91187_0027_SWT_LS_7505_258964_0019_tChange_5835_ms,5835,13,22,4860,2.23
LS_7447_91187_0028_SWT_LS_2843_152918_0113_tChange_5476_ms,5476,18,28,5110,3.29
LS_7447_91187_0029_SWT_LS_5456_62014_0017_tChange_5509_ms,5509,14,25,4870,2.54
LS_7447_91187_0030_SWT_LS_7505_83618_0005_tChange_5579_ms,5579,9,18,4860,1.61
LS_7447_91187_0032_SWT_LS_7447_91187_0030_tChange_5233_ms,5233,11,18,4280,2.10
LS_7447_91187_0034_SWT_LS_5456_62043_0022_tChange_5882_ms,5882,13,26,4890,2.21
LS_7447_91187_0036_SWT_LS_7505_83618_0016_tChange_5449_ms,5449,12,20,4810,2.20
LS_7447_91187_0037_SWT_LS_7447_91187_0009_tChange_5754_ms,5754,13,23,5350,2.26
LS_7447_91187_0046_SWT_LS_374_180298_0015_tChange_6468_ms,6468,16,26,6110,2.47
LS_7447_91187_0047_SWT_LS_5456_58161_0003_tChange_6357_ms,6357,13,25,5560,2.04
LS_7447_91187_0048_SWT_LS_7447_91187_0036_tChange_6387_ms,6387,18,26,5110,2.82
LS_7447_91187_0049_SWT_LS_5456_62014_0011_tChange_5341_ms,5341,11,26,4780,2.06
LS_7447_91187_0050_SWT_LS_374_180299_0037_tChange_5839_ms,5839,18,30,4940,3.08
LS_7447_91187_0054_SWT_LS_5456_58161_0022_tChange_5598_ms,5598,12,25,4300,2.14
LS_7447_91187_0055_SWT_LS_7447_91187_0061_tChange_5769_ms,5769,13,18,5300,2.25
LS_7447_91187_0057_SWT_LS_7505_83618_0010_tChange_5646_ms,5646,15,23,4890,2.66
LS_7447_91187_0061_SWT_LS_7505_83618_0007_tChange_5910_ms,5910,11,16,4640,1.86
LS_7447_91187_0066_SWT_LS_2843_152918_0103_tChange_5450_ms,5450,10,20,4230,1.83
LS_7505_258958_0009_SWT_LS_7505_83618_0010_tChange_5903_ms,5903,12,20,4820,2.03
LS_7505_258958_0010_SWT_LS_374_180298_0059_tChange_6194_ms,6194,16,28,4900,2.58
LS_7505_258958_0017_SWT_LS_5456_62014_0012_tChange_5832_ms,5832,12,26,5360,2.06
LS_7505_258958_0018_SWT_LS_2843_152918_0103_tChange_5753_ms,5753,13,23,4550,2.26
LS_7505_258958_0019_SWT_LS_2843_152918_0100_tChange_6638_ms,6638,13,24,5200,1.96
LS_7505_258958_0020_SWT_LS_374_180299_0037_tChange_6556_ms,6556,13,25,5450,1.98
LS_7505_258958_0025_SWT_LS_7505_83618_0024_tChange_6662_ms,6662,15,25,5170,2.25
LS_7505_258958_0035_SWT_LS_7447_91187_0005_tChange_5406_ms,5406,14,23,5500,2.59
LS_7505_258964_0000_SWT_LS_7505_83618_0007_tChange_5676_ms,5676,11,16,4040,1.94
LS_7505_258964_0003_SWT_LS_374_180298_0010_tChange_5712_ms,5712,15,31,4090,2.63
LS_7505_258964_0004_SWT_LS_2843_152918_0023_tChange_5859_ms,5859,10,20,4960,1.71
LS_7505_258964_0009_SWT_LS_5456_62043_0022_tChange_6460_ms,6460,13,26,4390,2.01
LS_7505_258964_0011_SWT_LS_7505_258964_0019_tChange_7463_ms,7463,19,29,6180,2.55
LS_7505_258964_0015_SWT_LS_2843_152918_0058_tChange_6125_ms,6125,15,25,4710,2.45
LS_7505_258964_0018_SWT_LS_374_180298_0037_tChange_5420_ms,5420,16,30,5090,2.95
LS_7505_258964_0019_SWT_LS_7447_91187_0027_tChange_5412_ms,5412,14,23,5060,2.59
LS_7505_258964_0022_SWT_LS_5456_58161_0003_tChange_6851_ms,6851,17,29,5800,2.48
LS_7505_258964_0023_SWT_LS_5456_62014_0017_tChange_6339_ms,6339,14,25,5210,2.21
LS_7505_258964_0024_SWT_LS_374_180299_0042_tChange_6374_ms,6374,11,21,5350,1.73
LS_7505_258964_0028_SWT_LS_5456_58161_0022_tChange_5449_ms,5449,9,22,4000,1.65
LS_7505_258964_0031_SWT_LS_5456_62014_0011_tChange_7261_ms,7261,14,29,5960,1.93
LS_7505_258964_0037_SWT_LS_374_180299_0033_tChange_9486_ms,9486,22,32,8490,2.32
LS_7505_258964_0042_SWT_LS_7505_83618_0005_tChange_5860_ms,5860,10,19,4550,1.71
LS_7505_258964_0043_SWT_LS_7505_258958_0035_tChange_5185_ms,5185,7,17,4400,1.35
LS_7505_258964_0044_SWT_LS_5456_62043_0002_tChange_5925_ms,5925,10,20,4430,1.69
LS_7505_258964_0045_SWT_LS_2843_152918_0016_tChange_6571_ms,6571,11,22,5500,1.67
LS_7505_258964_0046_SWT_LS_374_180298_0015_tChange_5520_ms.wav,5520,11,21,4650,1.99
LS_7505_258964_0051_SWT_LS_5456_62043_0017_tChange_5967_ms,5967,10,21,3970,1.68
LS_7505_83618_0003_SWT_LS_7505_83618_0015_tChange_6385_ms,6385,19,27,5270,2.98
LS_7505_83618_0004_SWT_LS_374_180299_0004_tChange_6204_ms,6204,16,24,4320,2.58
LS_7505_83618_0005_SWT_LS_7447_91187_0030_tChange_6195_ms,6195,15,22,5399,2.42
LS_7505_83618_0007_SWT_LS_7447_91187_0061_tChange_6194_ms,6194,13,18,5450,2.10
LS_7505_83618_0010_SWT_LS_7447_91187_0057_tChange_5970_ms,5970,13,25,4640,2.18
LS_7505_83618_0015_SWT_LS_7447_91187_0009_tChange_6307_ms,6307,13,23,4930,2.06
LS_7505_83618_0016_SWT_LS_7447_91187_0036_tChange_5608_ms,5608,13,21,4180,2.32
LS_7505_83618_0018_SWT_LS_7505_83618_0016_tChange_6213_ms,6213,16,24,5780,2.58
LS_7505_83618_0019_SWT_LS_2843_152918_0113_tChange_5397_ms,5397,16,26,4290,2.96
LS_7505_83618_0024_SWT_LS_7447_91186_0038_tChange_7389_ms,7389,20,30,6850,2.71
LS_7505_83618_0025_SWT_LS_2843_152918_0026_tChange_6850_ms,6850,19,32,5610,2.77
LS_7505_83618_0026_SWT_LS_2843_152918_0028_tChange_6147_ms,6147,15,25,5060,2.44
