Event Index,UTC Timestamp,UTC Date,Post Processed,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,sound,hc_ans,sound_nc_1,sound_nc_3,sound_nc_2,sound_c_1,sound_c_2,sound_c_3,progress,answer
11,1511276723470,21/11/2017 15:05:23,,1511276741108,-5,21/11/2017 10:05:41,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,1,Screen 1,fixation,fixation,1066.2920755468804,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
12,1511276726678,21/11/2017 15:05:26,,1511276744535,-5,21/11/2017 10:05:44,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,2,Screen 2,Zone4,response_keyboard_single,3402.350000000006,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
13,1511276728030,21/11/2017 15:05:28,,1511276745890,-5,21/11/2017 10:05:45,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,2,1,Screen 1,fixation,fixation,1066.4864967656904,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
14,1511276732528,21/11/2017 15:05:32,,1511276750389,-5,21/11/2017 10:05:50,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,2,2,Screen 2,Zone4,response_keyboard_single,4474.809999999998,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
15,1511276733861,21/11/2017 15:05:33,,1511276751721,-5,21/11/2017 10:05:51,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,3,1,Screen 1,fixation,fixation,1049.6205103670218,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
16,1511276738844,21/11/2017 15:05:38,,1511276756685,-5,21/11/2017 10:05:56,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,3,2,Screen 2,Zone4,response_keyboard_single,4942.045000000013,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
17,1511276740167,21/11/2017 15:05:40,,1511276758036,-5,21/11/2017 10:05:58,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,4,1,Screen 1,fixation,fixation,1066.2999936611595,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
18,1511276744351,21/11/2017 15:05:44,,1511276762221,-5,21/11/2017 10:06:02,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,4,2,Screen 2,Zone4,response_keyboard_single,4165.389999999999,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
19,1511276745720,21/11/2017 15:05:45,,1511276763584,-5,21/11/2017 10:06:03,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,5,1,Screen 1,fixation,fixation,1066.295119094677,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
20,1511276749839,21/11/2017 15:05:49,,1511276767708,-5,21/11/2017 10:06:07,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,5,2,Screen 2,Zone4,response_keyboard_single,4104.654999999999,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
21,1511276751207,21/11/2017 15:05:51,,1511276769065,-5,21/11/2017 10:06:09,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,6,1,Screen 1,fixation,fixation,1066.2199111958907,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
22,1511276754571,21/11/2017 15:05:54,,1511276772436,-5,21/11/2017 10:06:12,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,6,2,Screen 2,Zone4,response_keyboard_single,3351.5100000000093,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
23,1511276755938,21/11/2017 15:05:55,,1511276773797,-5,21/11/2017 10:06:13,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,7,1,Screen 1,fixation,fixation,1066.277699665865,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
24,1511276760404,21/11/2017 15:06:00,,1511276778268,-5,21/11/2017 10:06:18,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,7,2,Screen 2,Zone4,response_keyboard_single,4452.054999999993,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
25,1511276761751,21/11/2017 15:06:01,,1511276779628,-5,21/11/2017 10:06:19,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,8,1,Screen 1,fixation,fixation,1065.9994373526424,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
26,1511276766685,21/11/2017 15:06:06,,1511276784572,-5,21/11/2017 10:06:24,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,8,2,Screen 2,Zone4,response_keyboard_single,4921.945000000007,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
27,1511276768050,21/11/2017 15:06:08,,1511276785926,-5,21/11/2017 10:06:25,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,9,1,Screen 1,fixation,fixation,1066.262685675145,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
28,1511276772211,21/11/2017 15:06:12,,1511276790091,-5,21/11/2017 10:06:30,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,9,2,Screen 2,Zone4,response_keyboard_single,4144.795000000013,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
29,1511276773547,21/11/2017 15:06:13,,1511276791424,-5,21/11/2017 10:06:31,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,10,1,Screen 1,fixation,fixation,1049.5881777651666,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
30,1511276777669,21/11/2017 15:06:17,,1511276795539,-5,21/11/2017 10:06:35,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,10,2,Screen 2,Zone4,response_keyboard_single,4097.544999999984,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
31,1511276779014,21/11/2017 15:06:19,,1511276796889,-5,21/11/2017 10:06:36,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,11,1,Screen 1,fixation,fixation,1066.2947022406152,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
32,1511276782403,21/11/2017 15:06:22,,1511276800275,-5,21/11/2017 10:06:40,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,11,2,Screen 2,Zone4,response_keyboard_single,3367.935000000027,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
33,1511276783746,21/11/2017 15:06:23,,1511276801620,-5,21/11/2017 10:06:41,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,12,1,Screen 1,fixation,fixation,1050.0000633884047,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
34,1511276788234,21/11/2017 15:06:28,,1511276806082,-5,21/11/2017 10:06:46,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,12,2,Screen 2,Zone4,response_keyboard_single,4443.205000000016,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
35,1511276789562,21/11/2017 15:06:29,,1511276807435,-5,21/11/2017 10:06:47,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,13,1,Screen 1,fixation,fixation,1066.2731559263775,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
36,1511276794521,21/11/2017 15:06:34,,1511276812402,-5,21/11/2017 10:06:52,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,13,2,Screen 2,Zone4,response_keyboard_single,4950.020000000019,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
37,1511276795868,21/11/2017 15:06:35,,1511276813749,-5,21/11/2017 10:06:53,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,14,1,Screen 1,fixation,fixation,1050.0000633883756,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
38,1511276800044,21/11/2017 15:06:40,,1511276817905,-5,21/11/2017 10:06:57,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,14,2,Screen 2,Zone4,response_keyboard_single,4138.484999999986,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
39,1511276801399,21/11/2017 15:06:41,,1511276819264,-5,21/11/2017 10:06:59,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,15,1,Screen 1,fixation,fixation,1066.2622914597741,,,0,1,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
40,1511276805503,21/11/2017 15:06:45,,1511276823369,-5,21/11/2017 10:07:03,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,15,2,Screen 2,Zone4,response_keyboard_single,4084.475000000006,1,1,1,0,0,,,,rt_test_v2,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
41,1511276827083,21/11/2017 15:07:07,,1511276845003,-5,21/11/2017 10:07:25,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,1,1,Screen 1,Zone2,continue_button,21280.369999999995,,,0,1,0,,,,rt_test_v2,,,rt_tone,tone_tone_F0_500_Hz_Delta_25_4_tChange_4756.wav,,,,,,,,,
42,1511276828135,21/11/2017 15:07:08,,1511276846053,-5,21/11/2017 10:07:26,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,16,1,Screen 1,fixation,fixation,1066.2690365871822,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_10_2_tChange_3372.wav,,,,,,,,,1
43,1511276832006,21/11/2017 15:07:12,,1511276849928,-5,21/11/2017 10:07:29,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,16,2,Screen 2,Zone4,response_keyboard_single,3855.3699999999953,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_10_2_tChange_3372.wav,,,,,,,,,1
44,1511276833365,21/11/2017 15:07:13,,1511276851285,-5,21/11/2017 10:07:31,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,17,1,Screen 1,fixation,fixation,1066.2871677769872,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_10_3_tChange_3691.wav,,,,,,,,,1
45,1511276837727,21/11/2017 15:07:17,,1511276855633,-5,21/11/2017 10:07:35,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,17,2,Screen 2,Zone4,response_keyboard_single,4329.959999999992,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_10_3_tChange_3691.wav,,,,,,,,,1
46,1511276839068,21/11/2017 15:07:19,,1511276856983,-5,21/11/2017 10:07:36,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,18,1,Screen 1,fixation,fixation,1066.3268579586875,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_25_4_tChange_4756.wav,,,,,,,,,1
47,1511276844239,21/11/2017 15:07:24,,1511276862159,-5,21/11/2017 10:07:42,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,18,2,Screen 2,Zone4,response_keyboard_single,5159.584999999992,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_25_4_tChange_4756.wav,,,,,,,,,1
48,1511276845598,21/11/2017 15:07:25,,1511276863514,-5,21/11/2017 10:07:43,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,19,1,Screen 1,fixation,fixation,1066.2911207971338,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_100_5_tChange_4752.wav,,,,,,,,,1
49,1511276850646,21/11/2017 15:07:30,,1511276868567,-5,21/11/2017 10:07:48,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,19,2,Screen 2,Zone4,response_keyboard_single,5035.815000000002,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_100_5_tChange_4752.wav,,,,,,,,,1
50,1511276852009,21/11/2017 15:07:32,,1511276869929,-5,21/11/2017 10:07:49,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,20,1,Screen 1,fixation,fixation,1066.2950324638805,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_10_4_tChange_3793.wav,,,,,,,,,1
51,1511276856466,21/11/2017 15:07:36,,1511276874391,-5,21/11/2017 10:07:54,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,20,2,Screen 2,Zone4,response_keyboard_single,4446.11500000002,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_10_4_tChange_3793.wav,,,,,,,,,1
52,1511276857833,21/11/2017 15:07:37,,1511276875743,-5,21/11/2017 10:07:55,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,21,1,Screen 1,fixation,fixation,1066.242293633084,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_0_3_tChange_3000.wav,,,,,,,,,0
53,1511276862882,21/11/2017 15:07:42,,1511276880799,-5,21/11/2017 10:08:00,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,21,2,Screen 2,Zone2,gonogo_audio,5048.228961849236,0,,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_0_3_tChange_3000.wav,,,,,,,,,0
54,1511276864234,21/11/2017 15:07:44,,1511276882158,-5,21/11/2017 10:08:02,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,22,1,Screen 1,fixation,fixation,1066.2529978176171,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_25_2_tChange_4370.wav,,,,,,,,,1
55,1511276869607,21/11/2017 15:07:49,,1511276887062,-5,21/11/2017 10:08:07,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,22,2,Screen 2,Zone4,response_keyboard_single,4887.559999999998,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_25_2_tChange_4370.wav,,,,,,,,,1
56,1511276870500,21/11/2017 15:07:50,,1511276888422,-5,21/11/2017 10:08:08,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,23,1,Screen 1,fixation,fixation,1066.312077599432,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_50_4_tChange_3280.wav,,,,,,,,,1
57,1511276874174,21/11/2017 15:07:54,,1511276892086,-5,21/11/2017 10:08:12,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,23,2,Screen 2,Zone4,response_keyboard_single,3647.3649999999907,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_50_4_tChange_3280.wav,,,,,,,,,1
58,1511276875503,21/11/2017 15:07:55,,1511276893437,-5,21/11/2017 10:08:13,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,24,1,Screen 1,fixation,fixation,1066.1447365005733,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_50_3_tChange_4117.wav,,,,,,,,,1
59,1511276880124,21/11/2017 15:08:00,,1511276898037,-5,21/11/2017 10:08:18,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,24,2,Screen 2,Zone4,response_keyboard_single,4582.030000000028,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_50_3_tChange_4117.wav,,,,,,,,,1
60,1511276881465,21/11/2017 15:08:01,,1511276899385,-5,21/11/2017 10:08:19,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,25,1,Screen 1,fixation,fixation,1050.0000633883756,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_25_3_tChange_3408.wav,,,,,,,,,1
61,1511276885304,21/11/2017 15:08:05,,1511276903237,-5,21/11/2017 10:08:23,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,25,2,Screen 2,Zone4,response_keyboard_single,3836.3950000000186,1,1,1,0,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_25_3_tChange_3408.wav,,,,,,,,,1
62,1511276886673,21/11/2017 15:08:06,,1511276904600,-5,21/11/2017 10:08:24,2349,3,task-o4po,,888997,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,RT_test,5,26,1,Screen 1,fixation,fixation,1066.253722558089,,,0,1,0,,,,rt_test_v2,,,trials,tone_tone_F0_500_Hz_Delta_25_1_tChange_3838.wav,,,,,,,,,1
